ID	LabelName	region	name	name_full	hemi
0	Background				
2	cortex-rh-ACgG	cortex	ACgG	anterior_cingulate_gyrus	rh
16	cortex-rh-OFC	cortex	OFC	orbital_frontal_cortex	rh
50	cortex-rh-lat_PFC	cortex	lat_PFC	lateral_prefrontal_cortex	rh
77	cortex-rh-motor	cortex	motor	motor_cortex	rh
91	cortex-rh-SI/SII	cortex	SI/SII	somatosensory_cortex	rh
96	cortex-rh-SPL	cortex	SPL	superior_parietal_lobule	rh
112	cortex-rh-IPL	cortex	IPL	inferior_parietal_lobule	rh
125	cortex-rh-PMC	cortex	PMC	posterior_medial_cortex	rh
139	cortex-rh-MTL	cortex	MTL	medial_temporal_lobe	rh
165	cortex-rh-TG	cortex	TG	temporal_pole	rh
175	cortex-rh-ITC	cortex	ITC	inferior_temporal_cortex	rh
193	cortex-rh-STG/STSd	cortex	STG/STSd	superior_temporal_region	rh
204	cortex-rh-core/belt	cortex	core/belt	core_and_belt_areas_of_auditory_cortex	rh
224	cortex-rh-floor_of_ls	cortex	floor_of_ls	floor_of_the_lateral_sulcus	rh
232	cortex-rh-MT	cortex	MT	middle_temporal_area	rh
233	cortex-rh-V2-V4	cortex	V2-V4	extrastriate_visual_areas_2-4	rh
246	cortex-rh-V1	cortex	V1	primary_visual_cortex	rh
502	subcortex-rh-LVPal	subcortex	LVPal	lateral_and_ventral_pallium	rh
510	subcortex-rh-MPal	subcortex	MPal	medial_pallium	rh
516	subcortex-rh-Amy	subcortex	Amy	amygdala	rh
542	subcortex-rh-BG	subcortex	BG	basal_ganglia	rh
561	subcortex-rh-DSP	subcortex	DSP	diagonal_subpallium	rh
569	subcortex-rh-POC	subcortex	POC	preoptic_complex	rh
575	subcortex-rh-Hy	subcortex	Hy	hypothalamus	rh
603	subcortex-rh-PreThal	subcortex	PreThal	prethalamus	rh
605	subcortex-rh-Thal	subcortex	Thal	thalamus	rh
653	subcortex-rh-EpiThal	subcortex	EpiThal	epithalamus	rh
656	subcortex-rh-PrT	subcortex	PrT	pretectum	rh
663	subcortex-rh-Mid	subcortex	Mid	midbrain	rh
705	subcortex-rh-Pons	subcortex	Pons	pons	rh
741	subcortex-rh-Cb	subcortex	Cb	cerebellum	rh
780	subcortex-rh-Med	subcortex	Med	medulla	rh
1002	cortex-lh-ACgG	cortex	ACgG	anterior_cingulate_gyrus	lh
1016	cortex-lh-OFC	cortex	OFC	orbital_frontal_cortex	lh
1050	cortex-lh-lat_PFC	cortex	lat_PFC	lateral_prefrontal_cortex	lh
1077	cortex-lh-motor	cortex	motor	motor_cortex	lh
1091	cortex-lh-SI/SII	cortex	SI/SII	somatosensory_cortex	lh
1096	cortex-lh-SPL	cortex	SPL	superior_parietal_lobule	lh
1112	cortex-lh-IPL	cortex	IPL	inferior_parietal_lobule	lh
1125	cortex-lh-PMC	cortex	PMC	posterior_medial_cortex	lh
1139	cortex-lh-MTL	cortex	MTL	medial_temporal_lobe	lh
1165	cortex-lh-TG	cortex	TG	temporal_pole	lh
1175	cortex-lh-ITC	cortex	ITC	inferior_temporal_cortex	lh
1193	cortex-lh-STG/STSd	cortex	STG/STSd	superior_temporal_region	lh
1204	cortex-lh-core/belt	cortex	core/belt	core_and_belt_areas_of_auditory_cortex	lh
1224	cortex-lh-floor_of_ls	cortex	floor_of_ls	floor_of_the_lateral_sulcus	lh
1232	cortex-lh-MT	cortex	MT	middle_temporal_area	lh
1233	cortex-lh-V2-V4	cortex	V2-V4	extrastriate_visual_areas_2-4	lh
1246	cortex-lh-V1	cortex	V1	primary_visual_cortex	lh
1502	subcortex-lh-LVPal	subcortex	LVPal	lateral_and_ventral_pallium	lh
1510	subcortex-lh-MPal	subcortex	MPal	medial_pallium	lh
1516	subcortex-lh-Amy	subcortex	Amy	amygdala	lh
1542	subcortex-lh-BG	subcortex	BG	basal_ganglia	lh
1561	subcortex-lh-DSP	subcortex	DSP	diagonal_subpallium	lh
1569	subcortex-lh-POC	subcortex	POC	preoptic_complex	lh
1575	subcortex-lh-Hy	subcortex	Hy	hypothalamus	lh
1603	subcortex-lh-PreThal	subcortex	PreThal	prethalamus	lh
1605	subcortex-lh-Thal	subcortex	Thal	thalamus	lh
1653	subcortex-lh-EpiThal	subcortex	EpiThal	epithalamus	lh
1656	subcortex-lh-PrT	subcortex	PrT	pretectum	lh
1663	subcortex-lh-Mid	subcortex	Mid	midbrain	lh
1705	subcortex-lh-Pons	subcortex	Pons	pons	lh
1741	subcortex-lh-Cb	subcortex	Cb	cerebellum	lh
1780	subcortex-lh-Med	subcortex	Med	medulla	lh
-1	WM-rh-ctxWM	WM	ctxWM	cerebral_white_matter	rh
-2	CSF-rh-latVent	CSF	latVent	lateral_ventricle	rh
-501	WM-rh-cbWM	WM	cbWM	cerebellum_white_matter	rh
-1001	WM-lh-ctxWM	WM	ctxWM	cerebral_white_matter	lh
-1002	CSF-lh-latVent	CSF	latVent	lateral_ventricle	lh
-1501	WM-lh-cbWM	WM	cbWM	cerebellum_white_matter	lh
